SystemVariableID,EntityTypeID,EntityTypeName,SystemVariableCode,SystemVariableDescription,NumericValue,Sequence,IsSystemGenerated,IsInactive,CompanyID,CreatedBy,CreatedDate,CreatedIP,UpdatedBy,UpdatedDate,UpdatedIP,RowVersion
217,49,OverSystemDays,Over System Days,Over System Days,1,2,0,0,nagad,3,09:27.9,172.23.128.1,NULL,NULL,NULL,1
218,49,ManuallyLocked,Manually Locked,Over System Days,1,2,0,0,nagad,3,09:27.9,172.23.128.1,NULL,NULL,NULL,1
219,46,AdminSupportRequestType,Renovation Or Maintenance,Renovation Or Maintenance,1,4,0,0,nagad,3,09:27.9,172.23.128.1,NULL,NULL,NULL,1
220,51,Shift-Leave-Category,First Half,First Half,1,1,0,0,nagad,3,09:27.9,172.23.128.1,NULL,NULL,NULL,1
221,51,Shift-Leave-Category,Second Half,Second Half,1,1,0,0,nagad,3,09:27.9,172.23.128.1,NULL,NULL,NULL,1
222,52,Waiting for Disbursement,Waiting for Disbursement,Waiting for Disbursement,1,1,0,0,nagad,3,09:27.9,172.23.128.1,NULL,NULL,NULL,1
223,52,Waiting for Settlement,Waiting for Settlement,Waiting for Settlement,1,1,0,0,nagad,3,09:27.9,172.23.128.1,NULL,NULL,NULL,1
224,52,Waiting for Resubmit,Waiting for Resubmit,Waiting for Resubmit,1,1,0,0,nagad,3,09:27.9,172.23.128.1,NULL,NULL,NULL,1
225,52,Completed Process,Completed Process,Completed Process,1,1,0,0,nagad,3,09:27.9,172.23.128.1,NULL,NULL,NULL,1
1000,100,MenuType,group,group,1,1,0,0,12345678910,0,00:00.0,opening,NULL,NULL,NULL,1
1001,100,MenuType,collapse,collapse,2,2,0,0,12345678910,0,00:00.0,opening,NULL,NULL,NULL,1
