MenuID,ParentID,ApplicationID,ID,Title,Translate,Type,Icon,Url,Badge,Target,Exact,Auth,Parameters,IsVisible,SequenceNo
234,233,1,wallet-list,Wallet List,Wallet List,item,NULL,/apps/accounts/payments/wallet,NULL,NULL,1,NULL,NULL,1,2.00
235,89,1,disbursement-petty-cash-list,Disbursement Petty Cash List,Disbursement Petty Cash List,item,NULL,/apps/accounts/payments/expense-payments/disbursementPettyCashList,NULL,NULL,1,NULL,NULL,1,1.90
236,89,1,resubmit-advance-petty-cash-list,Resubmit Advance Petty Cash List,Resubmit Advance Petty Cash List,item,NULL,/apps/accounts/payments/expense-payments/resubmitPettyCashList,NULL,NULL,1,NULL,NULL,1,1.90
237,88,1,reimbursement,Reimbursement,Reimbursement,collapse,NULL,NULL,NULL,NULL,1,NULL,NULL,1,1.90
238,237,1,create-PettyCash-Reimburse,Create Petty Cash Reimburse,Create Petty Cash Reimburse,item,NULL,/apps/accounts/payments/pettyCash-reimburse/createPettyCashReimburse/new,NULL,NULL,1,NULL,NULL,1,1.12
239,237,1,pettyCash-Reimburse-List,Petty Cash Reimburse List,Petty Cash Reimburse List,item,NULL,/apps/accounts/payments/pettyCash-reimburse/pettyCash-reimburse-list,NULL,NULL,1,NULL,NULL,1,1.13
240,91,1,Petty Cash Payment,Petty Cash Payment,Petty Cash Payment,collapse,NULL,NULL,NULL,NULL,1,NULL,NULL,1,3.00
241,240,1,approved-reimburse-list,Approved Reimburse List,Approved Reimburse List,item,NULL,/apps/accounts/payments/pettyCashApproved-reimburse/pettyCashApproved-reimburse-list,NULL,NULL,1,NULL,NULL,1,1.96
242,240,1,petty-cash-payment-list,Petty Cash Payment List,Petty Cash Payment List,item,NULL,/apps/accounts/payments/petty-cash/petty-cash-payment-list,NULL,NULL,1,NULL,NULL,1,1.99
243,189,1,all-scc-list,All SCC List,All SCC List,item,NULL,/apps/scm/scc/allSCCList,NULL,NULL,1,NULL,NULL,1,2.23
245,161,1,expense-report,Expense Report,Expense Report,item,NULL,/apps/reportViewer/financeAndAccounts/expenseReport,NULL,NULL,1,NULL,NULL,1,2.09
279,202,1,Leave Application List New,Leave Application List New,Leave Application List New,item,NULL,/apps/hrms/leave-management/leave-application-list-new,NULL,NULL,1,NULL,NULL,1,1.85
500,3,1,common-interface,Common Interface,Common Interface,collapse,c,NULL,NULL,NULL,1,NULL,NULL,1,3.10
501,500,1,menu-interface,menu-interface,Menu,item,menu,/apps/comoninterface/interfaceType/listWithDialog/list/menu,NULL,NULL,1,NULL,NULL,1,3.10
504,500,1234,1234,Common,Common,item,test,/url/abce,NULL,NULL,0,NULL,NULL,1,6.00
505,500,1,demo,Demo,DEMO,item,list,/apps/demo/all,NULL,NULL,0,NULL,NULL,1,6.00
506,500,1,demo-item,Demo-item,DEMO-ITEM,item,list,/apps/demo-item/all,NULL,NULL,0,NULL,NULL,1,7.00
507,500,1,demo-item-creation,Demo Item Creation,DEMO-ITEM-CREATION,item,add_circle,/apps/demo-item-creation/new,NULL,NULL,0,NULL,NULL,1,7.00
508,5,1,organogram,Organogram,Organogram,item,NULL,/apps/dashboards/organogram,NULL,NULL,1,NULL,NULL,1,1.80
1001,3,1,kpi-tools,KPI Tools,KPI Tools,collapse,chart_timelines,NULL,NULL,NULL,1,NULL,NULL,1,2.07
1002,1001,1,kpi-settings,KPI Settings,Settings,collapse,NULL,,NULL,NULL,1,NULL,NULL,1,2.11
1003,1002,1,kpi-period-types,KPI Period Types,Period Types,item,NULL,/apps/kpi-tools/periodTypes,NULL,NULL,1,NULL,NULL,1,2.07
1006,1001,1,kpi-windows,KPI WIndows,KPI Windows,item,NULL,/apps/kpi-tools/windows/windowList,NULL,NULL,1,NULL,NULL,1,2.08
1007,1001,1,kpi-window-employees,KPI Evaluation Employees,KPI Evaluation Employees,item,NULL,/apps/kpi-tools/windows/windowEvaluationEmployeeList,NULL,NULL,1,NULL,NULL,1,2.09
1008,1001,1,kpi-window-employees,KPI Window Employees,KPI Window Employees,item,NULL,/apps/kpi-tools/windows/windowEmployeeList,NULL,NULL,1,NULL,NULL,1,2.09
1009,1001,1,organization-hierarchy,Organization Hierarchy,Organization Hierarchy,item,NULL,/apps/kpi-tools/organizationHierarchy,NULL,NULL,1,NULL,NULL,1,2.10
1011,1002,1,kpi-master-settings,KPI Master Settings,KPI Master Settings,item,NULL,/apps/kpi-tools/masterSettings,NULL,NULL,1,NULL,NULL,1,2.11
1012,1001,1,kpi-statistics,KPI Statistics,KPI Statistics,item,NULL,/apps/kpi-tools/kpiStatics,NULL,NULL,1,NULL,NULL,1,2.07
1013,1001,1,kpi-profile,KPI Profile,KPI Profile,item,NULL,/apps/kpi-tools/profile,NULL,NULL,1,NULL,NULL,1,2.07
